Name,HERMES
Comment,Taken from table 1. Bin in Q guessed by us. Errors in g2 are correlated between bins over x. The correlation matrix is saved in: '/home/guillermo/Work/Twist_3/Exp_Data/HERMES/Correlation_Matrix_23BINS.csv' 
Reference,arXiv:1112.5584v3
Process type,G2
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,
HERMES.0,100,52.657444,0.6164414002968976,0.4242640687119285,4.47213595499958,0.009,0.004,0.014,0.0799,0.0521,0.0182,0.0,0.009
HERMES.1,100,52.657444,0.8246211251235321,0.4242640687119285,4.47213595499958,0.018,0.014,0.023,0.0699,0.0513,0.0111,0.0,0.018
HERMES.2,100,52.657444,0.9433981132056604,0.4242640687119285,4.47213595499958,0.033,0.023,0.05,0.045,0.0326,0.0215,0.0,0.033
HERMES.3,100,52.657444,1.1704699910719625,0.4242640687119285,4.47213595499958,0.039,0.023,0.05,-0.02122562206064233,0.0652,0.008,0.0015432696703696395,0.039
HERMES.4,100,52.657444,1.3416407864998738,0.4242640687119285,4.47213595499958,0.044,0.023,0.05,0.3322951384205027,0.1279,0.0612,0.0017985000561110544,0.044
HERMES.5,100,52.657444,1.044030650891055,0.4242640687119285,4.47213595499958,0.067,0.05,0.09,-0.013770287611776982,0.0421,0.0097,0.0019890770993034063,0.067
HERMES.6,100,52.657444,1.3711309200802089,0.4242640687119285,4.47213595499958,0.069,0.05,0.09,0.03147273344695642,0.0357,0.0062,0.0024270544934730594,0.069
HERMES.7,100,52.657444,1.6703293088490065,0.4242640687119285,4.47213595499958,0.076,0.05,0.09,0.006577790368308772,0.0674,0.0323,0.0028329148902532654,0.076
HERMES.8,100,52.657444,1.140175425099138,0.4242640687119285,4.47213595499958,0.116,0.09,0.15,-0.01908395607430857,0.0506,0.0081,0.003106681586878276,0.116
HERMES.9,100,52.657444,1.5620499351813308,0.4242640687119285,4.47213595499958,0.118,0.09,0.15,0.03052659053434253,0.0301,0.0099,0.0031609885199166857,0.118
HERMES.10,100,52.657444,2.009975124224178,0.4242640687119285,4.47213595499958,0.124,0.09,0.15,-0.05813308103623939,0.0466,0.0149,0.0032938614292571584,0.124
HERMES.11,100,52.657444,1.2288205727444508,0.4242640687119285,4.47213595499958,0.182,0.15,0.22,-0.06514682963038586,0.0642,0.023,0.0024915991184041386,0.182
HERMES.12,100,52.657444,1.7349351572897471,0.4242640687119285,4.47213595499958,0.183,0.15,0.22,0.02698461688420113,0.0324,0.0038,0.002381034143415014,0.183
HERMES.13,100,52.657444,2.328089345364563,0.4242640687119285,4.47213595499958,0.187,0.15,0.22,-0.015223583534520902,0.044,0.0041,0.0023313541134341188,0.187
HERMES.14,100,52.657444,1.396424004376894,0.4242640687119285,4.47213595499958,0.282,0.22,0.4,0.04551775802089861,0.0396,0.0063,0.0019054661666383838,0.282
HERMES.15,100,52.657444,1.997498435543818,0.4242640687119285,4.47213595499958,0.298,0.22,0.4,0.016089407858672307,0.0195,0.0055,0.0018446974176154146,0.298
HERMES.16,100,52.657444,2.753179979587241,0.4242640687119285,4.47213595499958,0.311,0.22,0.4,-0.016820721521656153,0.0283,0.0105,0.0018130720801485842,0.311
HERMES.17,100,52.657444,1.6822603841260722,0.4242640687119285,4.47213595499958,0.458,0.4,0.6,-0.020047788683780224,0.0582,0.0129,0.0023954697924620876,0.458
HERMES.18,100,52.657444,2.0760539492026693,0.4242640687119285,4.47213595499958,0.482,0.4,0.6,-0.0633579896518231,0.037,0.0104,0.00219532033682692,0.482
HERMES.19,100,52.657444,2.751363298439521,0.4242640687119285,4.47213595499958,0.484,0.4,0.6,-0.004502105024784611,0.0183,0.0045,0.0019770474711511923,0.484
HERMES.20,100,52.657444,2.181742422927143,0.4242640687119285,4.47213595499958,0.63,0.6,0.9,0.25633868661107123,0.1194,0.0534,0.0022004447972494225,0.63
HERMES.21,100,52.657444,2.6057628441590768,0.4242640687119285,4.47213595499958,0.658,0.6,0.9,-0.002126233434356537,0.032,0.0081,0.001867022715979795,0.658
HERMES.22,100,52.657444,3.2171415884290826,0.4242640687119285,4.47213595499958,0.678,0.6,0.9,0.015503998830848662,0.016,0.0025,0.0015881260690275363,0.678
